2017/03/14 10:53:15 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_GB 
2017/03/14 10:53:19 INFO  - jmeter.JMeter: Loading user properties from: C:\Users\Muzna\Downloads\apache-jmeter-3.1\bin\user.properties 
2017/03/14 10:53:19 INFO  - jmeter.JMeter: Loading system properties from: C:\Users\Muzna\Downloads\apache-jmeter-3.1\bin\system.properties 
2017/03/14 10:53:19 INFO  - jmeter.JMeter: Copyright (c) 1998-2016 The Apache Software Foundation 
2017/03/14 10:53:19 INFO  - jmeter.JMeter: Version 3.1 r1770033 
2017/03/14 10:53:19 INFO  - jmeter.JMeter: java.version=1.8.0_121 
2017/03/14 10:53:19 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) 64-Bit Server VM 
2017/03/14 10:53:19 INFO  - jmeter.JMeter: os.name=Windows 10 
2017/03/14 10:53:19 INFO  - jmeter.JMeter: os.arch=amd64 
2017/03/14 10:53:19 INFO  - jmeter.JMeter: os.version=10.0 
2017/03/14 10:53:19 INFO  - jmeter.JMeter: file.encoding=Cp1252 
2017/03/14 10:53:19 INFO  - jmeter.JMeter: Max memory     =3103784960 
2017/03/14 10:53:19 INFO  - jmeter.JMeter: Available Processors =4 
2017/03/14 10:53:20 INFO  - jmeter.JMeter: Default Locale=English (United Kingdom) 
2017/03/14 10:53:20 INFO  - jmeter.JMeter: JMeter  Locale=English (United Kingdom) 
2017/03/14 10:53:20 INFO  - jmeter.JMeter: JMeterHome=C:\Users\Muzna\Downloads\apache-jmeter-3.1 
2017/03/14 10:53:20 INFO  - jmeter.JMeter: user.dir  =C:\Users\Muzna\Downloads\apache-jmeter-3.1\bin 
2017/03/14 10:53:20 INFO  - jmeter.JMeter: PWD       =C:\Users\Muzna\Downloads\apache-jmeter-3.1\bin 
2017/03/14 10:53:20 INFO  - jmeter.JMeter: IP: 192.168.100.12 Name: Muzna FullName: Muzna 
2017/03/14 10:53:23 INFO  - jmeter.gui.action.LookAndFeelCommand: Using look and feel: javax.swing.plaf.metal.MetalLookAndFeel [Metal, CrossPlatform] 
2017/03/14 10:53:23 INFO  - jmeter.JMeter: Loaded icon properties from org/apache/jmeter/images/icon.properties 
2017/03/14 10:53:30 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2017/03/14 10:53:30 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2017/03/14 10:53:44 INFO  - org.jmeterplugins.repository.PluginManager: Plugins Status: [jmeter-ftp=3.1, jmeter-http=3.1, jmeter-jdbc=3.1, jmeter-jms=3.1, jmeter-core=3.1, jmeter-junit=3.1, jmeter-java=3.1, jmeter-ldap=3.1, mqtt-sampler=0.0.1-SNAPSHOT, jmeter-mail=3.1, jmeter-mongodb=3.1, jmeter-native=3.1, jpgc-plugins-manager=0.11, jmeter-tcp=3.1, jmeter-components=3.1] 
2017/03/14 10:53:45 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.assertions.BSFAssertion 
2017/03/14 10:53:47 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.extractor.BSFPostProcessor 
2017/03/14 10:53:47 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.modifiers.BSFPreProcessor 
2017/03/14 10:53:47 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
